"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Exp1F_HCC_1_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_2_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_3_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_4_POS /NEG"	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_5_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_6_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_7_POS /NEG"	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_8_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_9_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_10_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_11_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_12_POS/NEG"	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_13_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_14_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_15_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_16_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_17_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_18_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
"Exp1F_HCC_19_POS/NEG "	"Extraction"	""	""	""	"Chromatography"	"ACQUITY UPLC Systems"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	"Q-Tof Premier"	""	""	""	""	""	""	""	""	""	""	"Data transformation"	""	""	"Metabolite identification"	""	""
