"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Person01_plasma_youth_NEG"	"Person02_plasma_youth_NEG"	"Person03_plasma_youth_NEG"	"Person04_plasma_youth_NEG"	"Person05_plasma_elder_NEG"	"Person06_plasma_elder_NEG"	"Person07_plasma_elder_NEG"	"Person08_plasma_elder_NEG"	"Person09_plasma_elder_NEG"	"Person10_plasma_elder_NEG"	"Person11_plasma_youth_NEG"	"Person12_plasma_youth_NEG"	"Person13_plasma_youth_NEG"	"Person14_plasma_youth_NEG"	"Person15_plasma_youth_NEG"	"Person16_plasma_youth_NEG"	"Person17_plasma_youth_NEG"	"Person18_plasma_elder_NEG"	"Person19_plasma_elder_NEG"	"Person20_plasma_youth_NEG"	"Person21_plasma_youth_NEG"	"Person22_plasma_elder_NEG"	"Person23_plasma_elder_NEG"	"Person24_plasma_elder_NEG"	"Person25_plasma_elder_NEG"	"Person26_plasma_elder_NEG"	"Person27_plasma_youth_NEG"	"Person28_plasma_youth_NEG"	"Person29_plasma_elder_NEG"	"Person30_plasma_elder_NEG"
"CHEBI:17552"	"C10H15N5O11P2"	"C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N"	"InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1"	"GDP"	"442.01773"	""	"[M-H]-"	"negative"	"15.3"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"67148.67866"	"138505.7881"	"56765.82389"	"42653.59832"	"204630.374"	"92667.04879"	"57931.24271"	"114473.6579"	"26466.28355"	"9703.813746"	"134340.4556"	"122266.7309"	"75113.4608"	"81355.5617"	"116278.0516"	"89987.7423"	"151580.9266"	"90812.02905"	"286868.9618"	"177837.9026"	"185702.2277"	"87864.60146"	"44177.07645"	"49886.75309"	"23407.26856"	"40140.11726"	"180498.8436"	"49080.85656"	"58329.77289"	"12313.60241"
"CHEBI:17345"	"C10H14N5O8P"	"C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N"	"InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1"	"GMP"	"362.05084"	""	"[M-H]-"	"negative"	"14.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"179510.487"	"193123.9302"	"36475.44042"	"61599.91044"	"518324.9954"	"427563.9021"	"369411.6372"	"176907.5126"	"39363.46173"	"22335.38092"	"47848.44125"	"193620.5291"	"396121.4834"	"81814.20696"	"353541.9129"	"314999.0085"	"567224.6438"	"341780.4699"	"841525.4716"	"396358.7422"	"413928.2463"	"419654.3207"	"134668.395"	"133338.3717"	"24526.67901"	"59759.53664"	"296027.4957"	"432699.5329"	"104232.6167"	"47152.05642"
"CHEBI:16695"	"C9H13N2O9P"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O"	"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"UMP"	"323.02877"	""	"[M-H]-"	"negative"	"12.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"268584.4812"	"218739.4109"	"50048.63898"	"111197.1665"	"1007574.415"	"822794.2364"	"902460.1113"	"157205.6701"	"107510.3494"	"15218.89219"	"78248.45701"	"242092.9829"	"1146676.747"	"611654.6429"	"1507091.284"	"1039578.484"	"88354.36319"	"159418.2"	"222636.621"	"289440.9026"	"328378.2483"	"356810.6969"	"85118.6132"	"182017.9851"	"36460.2277"	"406287.8367"	"1423779.231"	"813871.1516"	"135843.8561"	"118769.0318"
"CHEBI:15713"	"C9H15N2O15P3"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O"	"InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1"	"UTP"	"482.96233"	""	"[M-H]-"	"negative"	"15.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"658604.9065"	"591924.7075"	"699609.8956"	"512352.823"	"801369.2462"	"652322.1706"	"238672.1443"	"162914.1792"	"285708.4599"	"133101.1922"	"544671.715"	"794958.6108"	"1155921.035"	"703412.5989"	"1131428.47"	"1511009.134"	"727157.2675"	"328234.8661"	"667200.2451"	"1014300.999"	"947413.746"	"792206.0163"	"720294.9479"	"646169.5164"	"53808.04773"	"685876.6076"	"1424560.345"	"934595.8882"	"204541.1432"	"150879.6746"
"CHEBI:17368"	"C5H4N4O"	"C1=NC2=C(N1)C(=O)N=CN2"	"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"	"Hypoxanthine"	"135.03028"	""	"[M-H]-"	"negative"	"7.4"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"15100000"	"26500000"	"19200000"	"21600000"	"42900000"	"26300000"	"48700000"	"31100000"	"25300000"	"12500000"	"26400000"	"30400000"	"25900000"	"39000000"	"35600000"	"36200000"	"18300000"	"14400000"	"22000000"	"18000000"	"25200000"	"27600000"	"39100000"	"23200000"	"21100000"	"18900000"	"19100000"	"39300000"	"31300000"	"31600000"
"CHEBI:17775"	"C5H4N4O3"	"C12=C(NC(=O)N1)NC(=O)NC2=O"	"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"	"Urate"	"167.02141"	""	"[M-H]-"	"negative"	"10.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"110000000"	"157000000"	"123000000"	"199000000"	"44500000"	"46400000"	"50200000"	"37400000"	"268000000"	"1415834.712"	"226000000"	"197000000"	"22200000"	"22000000"	"21800000"	"30400000"	"81500000"	"90600000"	"209000000"	"136000000"	"120000000"	"172000000"	"138000000"	"143000000"	"129000000"	"37200000"	"64400000"	"61900000"	"33300000"	"36600000"
"CHEBI:16704"	"C9H12N2O6"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O"	"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1"	"Uridine"	"243.06228"	""	"[M-H]-"	"negative"	"7.1"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"6198002.955"	"9364279.339"	"11500000"	"9729902.811"	"15200000"	"12100000"	"14800000"	"12200000"	"6203215.943"	"8902931.499"	"12500000"	"7398716.15"	"11700000"	"11000000"	"13500000"	"12200000"	"5766765.295"	"9741457.402"	"11500000"	"10300000"	"10700000"	"7990605.444"	"13100000"	"8754778.747"	"10800000"	"2433747.257"	"11700000"	"12100000"	"8059696.415"	"8638697.589"
"CHEBI:17712"	"C5H4N4O2"	"C1=NC2=C(N1)C(=O)NC(=O)N2"	"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"	"Xanthine"	"151.02649"	""	"[M-H]-"	"negative"	"8.6"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"975613.0176"	"999599.2486"	"998924.2603"	"357877.2749"	"732874.2213"	"404621.811"	"1106787.759"	"1228724.599"	"878862.5918"	"1076636.271"	"1426696.919"	"601183.6873"	"211655.3809"	"1030647.379"	"774184.954"	"506537.8144"	"1190221.791"	"779917.4791"	"2974913.66"	"953753.2533"	"691946.5419"	"339136.0004"	"691599.6198"	"682038.1271"	"998562.8266"	"225740.69"	"510270.2993"	"1106010.591"	"753931.5355"	"875723.596"
"CHEBI:16264"	"C17H27N3O17P2"	"CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O"	"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1"	"UDP-acetyl-glucosamine"	"606.07557"	""	"[M-H]-"	"negative"	"12.8"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1302203.286"	"1175924.215"	"757163.9737"	"981603.4001"	"1494087.148"	"1544401.148"	"1499944.778"	"343060.2864"	"2107999.363"	"130377.6736"	"628715.9689"	"1796291.738"	"2880432.1"	"1297983.793"	"3901421.714"	"2924473.674"	"919608.3645"	"724794.9616"	"722984.4657"	"1859441.362"	"1642275.4"	"1473592.015"	"764258.5278"	"1178382.652"	"408617.1819"	"505038.7522"	"3070931.644"	"2539484.631"	"454892.3384"	"410913.143"
"CHEBI:18066"	"C15H24N2O17P2"	"C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O"	"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1"	"UDP-glucose"	"565.04867"	""	"[M-H]-"	"negative"	"13.9"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"5:very good reliability"	""	""	""	""	""	""	"1058301.656"	"1232830.074"	"1122567.191"	"1009020.4"	"653960.604"	"435389.8687"	"422381.1135"	"68440.4801"	"785857.9155"	"145320.5805"	"711029.5671"	"1399393.679"	"1327898.493"	"415103.7062"	"556944.6652"	"647070.6143"	"2119697.749"	"812148.8836"	"1582608.003"	"1315058.167"	"1622640.574"	"1373477.568"	"1440011.213"	"789999.2183"	"11345.93674"	"503307.0026"	"1614999.967"	"470440.6346"	"234503.3196"	"251114.4396"
