"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MCMA429"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA429"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"81_P-1-MCMA429_522-16480"	"81_P-1-MCMA429_522-16480.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA430"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA430"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"15_P-2-MCMA430_522-16481"	"15_P-2-MCMA430_522-16481.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA431"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA431"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"35_P-3-MCMA431_522-16482"	"35_P-3-MCMA431_522-16482.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA433"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA433"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"59_P-4-MCMA433_522-16483"	"59_P-4-MCMA433_522-16483.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA434"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA434"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"66_P-5-MCMA434_522-16484"	"66_P-5-MCMA434_522-16484.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA435"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA435"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"54_P-6-MCMA435_522-16485"	"54_P-6-MCMA435_522-16485.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA436"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA436"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"84_P-7-MCMA436_522-16486"	"84_P-7-MCMA436_522-16486.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA442"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA442"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"95_P-9-MCMA442_522-16488"	"95_P-9-MCMA442_522-16488.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA443"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA443"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"94_P-10-MCMA443_522-16489"	"94_P-10-MCMA443_522-16489.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
"MCMA444"	"Extraction"	"50 µL extract directly transferred to MS glass vials"	"none"	"MCMA444"	"Chromatography"	"Agilent 1290 LC"	""	""	"Porshell C8 column - 2.7 µm x 50 mm (Agilent)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Agilent QTOF 6550"	""	""	"electrospray ionization"	""	""	"quadrupole time-of-flight"	""	""	"48_P-11-MCMA444_522-16490"	"48_P-11-MCMA444_522-16490.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_nmfi_and_bsi_diagnosis_metabolite_profiling_mass_spectrometry-1_v2_maf.tsv"
