"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"1014_N"	"1035_N"	"1016_N"	"1037_N"	"1058_N"	"1018_N"	"1039_N"	"1052_N"	"1050_N"	"1010_N"	"1031_N"	"1056_N"	"1012_N"	"1033_N"	"1054_N"	"1002_N"	"1048_N"	"1004_N"	"1027_N"	"1046_N"	"1006_N"	"1029_N"	"1040_N"	"1061_N"	"1021_N"	"1044_N"	"1067_N"	"1023_N"	"1042_N"	"1065_N"	"1013_N"	"1036_N"	"1059_N"	"1038_N"	"1057_N"	"1017_N"	"1019_N"	"1051_N"	"1030_N"	"1032_N"	"1055_N"	"1011_N"	"1034_N"	"1053_N"	"1003_N"	"1024_N"	"1049_N"	"1005_N"	"1026_N"	"1068_N"	"1007_N"	"1009_N"	"1041_N"	"1062_N"	"1060_N"	"1020_N"	"1045_N"	"1066_N"	"1001_N"	"1043_N"	"1064_N"
"ID_1_ON"	""	""	""	"Para-hydroxybenzoate--polyprenyltransferase | mitochondrial | 3 |4-Dihydroxybenzaldehyde | Sesamol | Solute carrier family 22 member 7 | Sesamol | 3-Hydroxybenzoic acid | Gentisate aldehyde | Salicylate | Aldehyde oxidase | 4-Hydroxybenzoate | 3-Hydroxybenzoate | protocatechualdehyde | 2-Methoxy-1 |4-benzoquinone | alpha-Furyl methyl diketone | 3 |4-Dihydroxybenzaldehyde"	"137.0240427"	""	"M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H"	"1"	"389.4447134"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"41660.68359"	"353630.7188"	"62180.04688"	"406968.3125"	"1170081.875"	"212391.2031"	"456104"	"958499.875"	"867817"	"97143.49219"	"310030.875"	"1116792.875"	"66124.44531"	"7683985"	"1006584.875"	"147634.2813"	"813458.6875"	"135783.6406"	"248076.9219"	"2.36E7"	"2474612.25"	"231280.5469"	"468532.875"	"1297643.125"	"124751.7969"	"606099.625"	"1338598.375"	"812748.0625"	"546324.5625"	"1370267.375"	"67732.52344"	"404280.9375"	"1185333.875"	"1472960.75"	"1128144.125"	"2.87E7"	"88954.46094"	"936884.375"	"238933.5469"	"310283.7188"	"1036939.688"	"110605.0547"	"344178.9688"	"971042.1875"	"233471.1719"	"368095.25"	"835483.0625"	"136597.375"	"222294.8906"	"1338400.75"	"211112.1094"	"125274.4531"	"534656.1875"	"1307104.25"	"1208767"	"76770.70313"	"1.05E7"	"1364218.25"	"200143.1719"	"582457.375"	"1350701.5"
"ID_10_ON"	""	""	""	"aspulvinone-e | N4-Acetylsulfamethoxazole | Cytochrome P450 2C9 | Ismine | Solute carrier family 22 member 6 | Tolmetin | Transferred to D00381 | Transferred to D01611 | Transferred to D01610 | Transferred to D01602 | Acetylsulfamethoxazole | Transferred to D01606 | Transferred to D01605 | Transferred to D01604 | Transferred to D01603 | Transferred to D01609 | Transferred to D01608 | Transferred to D01607"	"294.0546378"	""	"M-H | M-H | M+HCOOH-H | M+K-2H | M+K-2H | M+K-2H | M+K-2H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H"	"1"	"358.3118033"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	""	""	"359774.0625"	"1287089.75"	""	""	"2.92E7"	"8331016"	""	""	"997322.125"	""	"2041798"	"1097482.875"	""	""	""	""	"813711.6875"	"1728598.625"	""	"857574.0625"	"1442841.625"	"5208170.5"	""	"1629777.5"	""	"785943.8125"	"1535527.625"	""	"304893.8438"	"1.72E7"	""	""	""	""	"2.37E7"	"1927530.125"	""	"2.86E7"	""	"324316.5313"	""	"5128257.5"	""	"677683.25"	""	""	"1.24E7"	"4137909.75"	""	"249056.1875"	"1495351.125"	"1.09E7"	""	"487978.4375"	"1.7E7"	"2231895.75"	""	"1.85E7"	"2236538.5"
"ID_100_ON"	""	""	""	"Artemisyl propionate | Citral propylene glycol acetal | Propyl 2 |4-decadienoate | Tsibulin 1 | Monomenthyl succinate | Octahydro-2 |5 |5 |8a-tetramethyl-7H-1-benzopyran-7-one | 3E |5E-tridecadienoic acid | 3Z |5E-tridecadienoic acid | 4-tridecynoic acid | 3-tridecynoic acid | 6-tridecynoic acid | 5-tridecynoic acid | 7-tridecynoic acid | 8-tridecynoic acid | 11-tridecynoic acid | 12-tridecynoic acid | 9-tridecynoic acid | 10-tridecynoic acid | (Z)-3 |7-Dimethyl-2 |7-octadienyl propionate | (E)-3 |7-Dimethyl-2 |7-octadienyl propionate | (E)-3 |7-Dimethyl-2 |6-octadienyl propionate | (E)-2-Octenyl 2-methyl-(E)-2-butenoate | Methyl (2E |6Z)-dodecadienoate | Isobornyl propionate | Neryl propionate | 2-Propenyl cyclohexanebutanoate | 5-Nonyltetrahydro-2-oxo-3-furancarboxylic acid | Linalyl propionate | alpha-Terpineol propanoate | Cepanone"	"255.1596803"	""	"M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H"	"1"	"627.1501953"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"462471.0625"	"6402861"	"118700.0547"	"412988.9063"	"89767.02344"	"194701.8906"	"250561.2344"	"68891.69531"	"552380"	"47196.89844"	"93232.46875"	"160482.9688"	"108968.8906"	"51600.58984"	"161724.7344"	"213937.125"	"149933.2188"	"80111.75"	"62810.60938"	"125126.1719"	"1395572.125"	"443412.7813"	"128762.4297"	"115301.2422"	"127389.25"	"229232.9063"	"168414.5156"	"193732.1094"	"163595.3906"	"1682766.625"	"103520.7031"	"92335.89063"	"544078.625"	"210037.2656"	"128466.3438"	"327500.0938"	"247553.0781"	"659100"	"54326.03125"	"329667.7188"	"354495.5938"	"402718.75"	"64212.91016"	"227583.6406"	"42004.00781"	"38062.78516"	"240456.5313"	"52436.89844"	"50850.52344"	"632467.875"	"38806.85938"	"35180.05859"	"195957.7969"	"256366"	"187196.3438"	"279946.1563"	"180374.2031"	"1725395.625"	"2592088"	"2389520.75"	"155559.7344"
"ID_1000_ON"	""	""	""	"1-(8Z |11Z |14Z-eicosatrienoyl)-2-heptadecanoyl-glycero-3-phosphoethanolamine | 1-(9Z-nonadecenoyl)-2-(9Z |12Z-octadecadienoyl)-glycero-3-phosphoethanolamine | 1-(11Z-eicosenoyl)-2-(9Z |12Z-heptadecadienoyl)-glycero-3-phosphoethanolamine | 1-(11Z |14Z-eicosadienoyl)-2-(9Z-heptadecenoyl)-glycero-3-phosphoethanolamine | 1-nonadecanoyl-2-(9Z |12Z |15Z-octadecatrienoyl)-glycero-3-phosphoethanolamine | 1-nonadecanoyl-2-(6Z |9Z |12Z-octadecatrienoyl)-glycero-3-phosphoethanolamine | 1-(9Z |12Z |15Z-octadecatrienoyl)-2-nonadecanoyl-glycero-3-phosphoethanolamine | 1-(6Z |9Z |12Z-octadecatrienoyl)-2-nonadecanoyl-glycero-3-phosphoethanolamine | 1-(9Z |12Z-octadecadienoyl)-2-(9Z-nonadecenoyl)-glycero-3-phosphoethanolamine | 1-(9Z |12Z-heptadecadienoyl)-2-(11Z-eicosenoyl)-glycero-3-phosphoethanolamine | 1-heptadecanoyl-2-(8Z |11Z |14Z-eicosatrienoyl)-glycero-3-phosphoethanolamine | 1-(9Z-heptadecenoyl)-2-(11Z |14Z-eicosadienoyl)-glycero-3-phosphoethanolamine | 1-(9Z-pentadecenoyl)-2-(13Z |16Z-docosadienoyl)-glycero-3-phosphoethanolamine | 1-(5Z |8Z |11Z-eicosatrienoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine | 1-tetradecanoyl-2-(5Z |8Z |11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine | 1-(13Z |16Z-docosadienoyl)-2-(9Z-pentadecenoyl)-glycero-3-phosphoethanolamine | 1-(9Z |12Z-heptadecadienoyl)-2-(9Z-heptadecenoyl)-glycero-3-phosphocholine | 1-(9Z-heptadecenoyl)-2-(9Z |12Z-heptadecadienoyl)-glycero-3-phosphocholine | 1-tetradecanoyl-2-(8Z |11Z |14Z-eicosatrienoyl)-glycero-3-phosphocholine | 1-(9Z-tetradecenoyl)-2-(11Z |14Z-eicosadienoyl)-glycero-3-phosphocholine | 1-(11Z |14Z-eicosadienoyl)-2-(9Z-tetradecenoyl)-glycero-3-phosphocholine | 1-(8Z |11Z |14Z-eicosatrienoyl)-2-tetradecanoyl-glycero-3-phosphocholine | 1-(9Z |12Z-octadecadienoyl)-2-(9Z-hexadecenoyl)-glycero-3-phosphocholine | 1-(6Z |9Z |12Z-octadecatrienoyl)-2-hexadecanoyl-glycero-3-phosphocholine | 1-(9Z |12Z |15Z-octadecatrienoyl)-2-hexadecanoyl-glycero-3-phosphocholine | 1-hexadecanoyl-2-(6Z |9Z |12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine | 1-hexadecanoyl-2-(9Z |12Z |15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine | 1-(9Z-hexadecenoyl)-2-(9Z |12Z-octadecadienoyl)-sn-glycero-3-phosphocholine | 1-16:0-2-18:3-phosphatidylcholine | 1-(11Z-docosenoyl)-2-(9Z-pentadecenoyl)-glycero-3-phosphoserine | 1-(13Z |16Z-docosadienoyl)-2-pentadecanoyl-glycero-3-phosphoserine | 1-(11Z-eicosenoyl)-2-(9Z-heptadecenoyl)-glycero-3-phosphoserine | 1-(11Z |14Z-eicosadienoyl)-2-heptadecanoyl-glycero-3-phosphoserine | 1-eicosanoyl-2-(9Z |12Z-heptadecadienoyl)-glycero-3-phosphoserine | 1-(9Z |12Z-octadecadienoyl)-2-nonadecanoyl-glycero-3-phosphoserine | 1-(9Z-octadecenoyl)-2-(9Z-nonadecenoyl)-glycero-3-phosphoserine | 1-nonadecanoyl-2-(9Z |12Z-octadecadienoyl)-glycero-3-phosphoserine | 1-(9Z-nonadecenoyl)-2-(9Z-octadecenoyl)-glycero-3-phosphoserine | 1-(9Z-pentadecenoyl)-2-(11Z-docosenoyl)-glycero-3-phosphoserine | 1-pentadecanoyl-2-(13Z |16Z-docosadienoyl)-glycero-3-phosphoserine | Uteroglobin | 1-(9Z |12Z-heptadecadienoyl)-2-eicosanoyl-glycero-3-phosphoserine | Uteroglobin | Uteroglobin | 1-(9Z-heptadecenoyl)-2-(11Z-eicosenoyl)-glycero-3-phosphoserine | 1-heptadecanoyl-2-(11Z |14Z-eicosadienoyl)-glycero-3-phosphoserine | Uteroglobin | Uteroglobin | Uteroglobin | Uteroglobin | Group XV phospholipase A2 | Uteroglobin | Uteroglobin | Group XV phospholipase A2 | Group XV phospholipase A2"	"800.5455691"	""	"M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M-H | M+HCOOH-H | M-H | M+HCOOH-H | M+HCOOH-H | M-H | M-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H"	"1"	"934.7009705"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"669174.25"	"920038.5625"	"627023"	"427077.5"	"748318.9375"	"346355.9063"	"747922.3125"	"586566"	"327880.8438"	"283743.6563"	"572455"	"373934.2188"	"442617.1875"	"693469.875"	"410640.9063"	"642775.1875"	"543655.875"	"650789.8125"	"638959.25"	"363263"	"776135.875"	"477718.9375"	"544274.5"	"523166.9063"	"621306.9375"	"351185.625"	"766492.125"	"298982.9063"	"330985.5313"	"591194.625"	"639711.5"	"598918.875"	"538543.5625"	"568967.5625"	"605239.5"	"454359.9063"	"535088.625"	"464622"	"549227.1875"	"436625.6563"	"326894.5625"	"597293.5"	"480542.6563"	"567018.0625"	"441653.3438"	"559975"	"560178.5"	"475431.3125"	"413514.4063"	"589095.6875"	"631876.0625"	"663289.875"	"428112.9375"	"557792.3125"	"396665.6875"	"614445.1875"	"697649.5"	"679194.5"	"562521.875"	"457303.2188"	"571524.5"
"ID_1002_ON"	""	""	""	"dihydromacarpine | Dihydromacarpine | (gamma-Glutamyl-gamma-glutamyl)-S-methylcysteine | Chelating agent | Cephalosporin C | gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine"	"414.0963399"	""	"M+Na-2H | M+Na-2H | M+Na-2H | M-H | M-H | M+Na-2H"	"1"	"251.2210534"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"496918.5938"	"299967.75"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"36653.71875"	""	""	""	"2924.411133"	""	""	""	"505671.1563"	""	""	""	""	"100931.9297"	""	""	"669145.25"	""	""	""	"16334.37012"	""	""	""	""	""	"15292.67871"	""	""	""	"38500.1875"	""	""	"417586.4063"	""	""	"156486.1563"	""
"ID_10061_ON"	""	""	""	"Fasciculol C | 6-Deoxohomodolichosterone | 6beta-acetoxy-24-methylcholestan-3beta |5alpha |22R |24-tetrol | (3beta |22R |23R |24S)-3 |22 |23-Trihydroxystigmastan-6-one | (5Z |7E)-(1R |2R |3R)-3-(hydroxy-propyl)-19-nor-9 |10-seco-5 |7-cholestadien-1 |3 |25-triol"	"507.3679177"	""	"M-H | M+HCOOH-H | M-H | M+HCOOH-H | M+HCOOH-H"	"1"	"693.8065516"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"39592.71875"	"7556.912109"	"11334.3457"	"12553.45508"	"7703.600098"	"5058.067871"	"21016.95703"	"10780.90234"	"7767.165039"	"30314.22266"	"14188.03125"	"9055.361328"	"16895.23633"	"9310.232422"	"13521.09766"	"12205.5498"	"9516.307617"	"9116.040039"	"5280.445801"	"29331.67188"	"19075.42188"	"46500.67188"	"11715.3457"	"12353.30176"	"18133.85938"	""	"12123.72949"	"16697.76758"	"12459.48438"	"13023.60352"	"20385.8418"	"11441.30078"	""	"23854.60156"	""	"11102.82129"	"43993.78906"	""	"14006.62695"	"21232.68555"	"17753.96484"	"23410.66602"	"16331.22754"	"9898.616211"	"17965.63086"	""	"16039.06836"	"20191.35742"	"26988.89453"	"11905.74512"	""	"18316.83398"	"37114.52344"	"10346.5791"	"17170.24805"	""	"15977.45605"	"10279.94434"	"15447.64746"	"12441.44141"	"14644.63477"
"ID_10078_ON"	""	""	""	"N-(14-Methylhexadecanoyl)pyrrolidine | N-hexadecanoyl-isoleucine | N-hexadecanoyl-leucine | N-octadecanoyl-gamma-aminobutyric acid | 2S-amino-5 |9 |13 |17-tetramethyl-8E |16-octadecadiene-1 |3R |14-triol"	"368.3161866"	""	"M+HCOOH-H | M-H | M-H | M-H | M-H"	"1"	"801.2653433"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"10829.71191"	"73931.53125"	"9962.035156"	"13262.39648"	"9818.927734"	"8557.462891"	"9526.388672"	"4438.120605"	"14649.20996"	"10487.12402"	"9205.46875"	"1798.709229"	"7226.856934"	"5636.938965"	"26609.47656"	"8637.47168"	"4988.28418"	"10661.73926"	""	"7521.762207"	"33790.38672"	"45129.43359"	"15125.3623"	"5893.276367"	"10800.16016"	"27302.10156"	"15039.21289"	"10420.6123"	"7693.954102"	"38430.63672"	"7906.071289"	"17069.8125"	"12582.72949"	"66016.25"	"17346.14844"	"64406.50391"	"19549.99805"	"74979.24219"	"5834.478027"	"25991.17969"	"23177.46094"	"12107.28223"	"4296.016113"	"13190.29102"	"19827.84961"	"10549.2627"	"4746.736328"	"8194.129883"	"5430.962891"	"30938.625"	"9131.427734"	""	"39393.99219"	"17107.91992"	"3933.087891"	"8099.736328"	"11518.59473"	"43923.42969"	"23751.5918"	"9734.431641"	"11332.47949"
"ID_1010_ON"	""	""	""	"19 |20-dinor-12R |13S-epoxy |16S-chloro-6Z |9Z-prostadienoic acid cyclo-[11S |15R] | Alkaloid AQC2 | Caribine"	"363.1119427"	""	"M+K-2H | M+K-2H | M+K-2H"	"1"	"325.4133301"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	""	""	""	""	""	""	"10198.30273"	""	"9758.532227"	"5269.305664"	""	""	"22388.77539"	""	""	""	""	"5217.17334"	""	""	""	""	""	""	""	""	""	""	""	""	"9090.140625"	""	""	""	""	""	""	""	""	"590430.4375"	""	""	""	""	""	"621325.875"	""	""	"220169.8125"	""	""	""	""	""	""	""	""	""	""	"774266.75"	""
"ID_10109_ON"	""	""	""	"Triton | 1-18:0-2-18:1-phosphatidylinositol | 1-(11Z-docosenoyl)-2-(5Z |8Z |11Z |14Z |17Z-eicosapentaenoyl)-glycero-3-phosphoserine | 1-(13Z |16Z-docosadienoyl)-2-(5Z |8Z |11Z |14Z-eicosatetraenoyl)-glycero-3-phosphoserine | 1-(7Z |10Z |13Z |16Z-docosatetraenoyl)-2-(11Z |14Z-eicosadienoyl)-glycero-3-phosphoserine | 1-(4Z |7Z |10Z |13Z |16Z |19Z-docosahexaenoyl)-2-eicosanoyl-glycero-3-phosphoserine | 1-eicosanoyl-2-(4Z |7Z |10Z |13Z |16Z |19Z-docosahexaenoyl)-glycero-3-phosphoserine | 1-(11Z |14Z-eicosadienoyl)-2-(7Z |10Z |13Z |16Z-docosatetraenoyl)-glycero-3-phosphoserine | 1-(5Z |8Z |11Z |14Z |17Z-eicosapentaenoyl)-2-(11Z-docosenoyl)-glycero-3-phosphoserine | 1-(5Z |8Z |11Z |14Z-eicosatetraenoyl)-2-(13Z |16Z-docosadienoyl)-glycero-3-phosphoserine"	"908.5656599"	""	"M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H | M+HCOOH-H"	"1"	"950.4532228"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"54630.48047"	"23416.33984"	"31895.4082"	"35770.01172"	"33427.76172"	"48126.83594"	"42764.03516"	"38599.38672"	"28591.76758"	"31588.51563"	"33407.85938"	"38087.97266"	"34923.46875"	"20405.67969"	"38514.63281"	"33189.86328"	"32391.5957"	"80871.25"	"52269.32813"	"38850.17578"	"62126.48828"	"49718.52344"	"31457.41406"	"25683.53906"	"81819.5625"	"52336.72266"	"42015.85938"	"25626.00586"	"33459.3125"	""	"23473.91602"	"32331.80469"	"55117.20313"	"41187.21875"	"94650.6875"	"16840.33594"	"45990.09766"	""	"38665.51953"	"41078.57422"	"31918.04883"	"15884.40332"	"32544.32617"	"36003.19922"	"24107.64648"	"33794.88672"	"29975.52539"	"40461.85547"	"19060.87305"	"53677.15234"	"17245.60938"	"17142.69922"	"42819.67969"	"35256.79297"	"35666.58984"	"19761.5957"	"28851.45898"	"24668.02734"	"33532.94922"	""	"53712.27344"
"ID_10136_ON"	""	""	""	"3'-Hydroxy-T2 Toxin | Polhovolide"	"481.2062998"	""	"M-H | M+HCOOH-H"	"1"	"573.9350891"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	""	"9429.983398"	"3784.633057"	""	"5274.011719"	"7150.553711"	""	""	"13251.48438"	"1309.705566"	""	"13896.2168"	"24338.4707"	"74471.45313"	""	"9104.399414"	"9209.600586"	"3970.011719"	"8589.860352"	"4336.121094"	""	""	"2696.091553"	""	"3019.091797"	"6134.9375"	"4862.984375"	""	""	"9124.25"	"2829.405518"	""	"3826.695801"	"2917.790771"	"4024.902344"	"4930.289063"	""	""	""	""	"2942.279053"	""	""	"5316.699707"	"4426.94873"	"20810.2168"	"9370.283203"	""	"23599.59766"	"5776.044922"	"12101.19238"	"2439.493652"	"2571.12085"	""	""	""	"13842.65137"	"6854.952148"	"3148.242676"	"26055.67578"	"4182.807129"
