"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"1012_P"	"1033_P"	"1058_P"	"1014_P"	"1035_P"	"1056_P"	"1016_P"	"1037_P"	"1018_P"	"1039_P"	"1050_P"	"1054_P"	"1010_P"	"1031_P"	"1052_P"	"1023_P"	"1046_P"	"1002_P"	"1044_P"	"1067_P"	"1004_P"	"1027_P"	"1006_P"	"1029_P"	"1048_P"	"1061_P"	"1042_P"	"1065_P"	"1021_P"	"1040_P"	"1019_P"	"1011_P"	"1034_P"	"1057_P"	"1013_P"	"1036_P"	"1055_P"	"1038_P"	"1017_P"	"1059_P"	"1030_P"	"1053_P"	"1032_P"	"1051_P"	"1009_P"	"1001_P"	"1068_P"	"1003_P"	"1024_P"	"1045_P"	"1066_P"	"1005_P"	"1026_P"	"1007_P"	"1049_P"	"1060_P"	"1043_P"	"1064_P"	"1020_P"	"1041_P"	"1062_P"
"ID_1_OP"	""	""	""	"Piperettine | Lansamide 4 | N-[2-Methoxy-2-(4-methoxyphenyl)ethyl]cinnamide | Gamma-aminobutyric acid receptor subunit alpha-5 | Solute carrier family 22 member 6 | Thebaine | Cephradine | Ampicillin | ampicillin | cephradine | Penicillin T | Nalorphine | Flumazenil | (R)-Pronuciferine | Solute carrier family 15 member 2 | Lansimide 3 | (-)-Thebaine | (+)-Pronuciferine | Isothebaine"	"350.1153351"	""	"M+K | M+K | M+K | M+HCOOH+H | M+H | M+K | M+H | M+H | M+H | M+H | M+H | M+K | M+HCOOH+H | M+K | M+H | M+K | M+K | M+K | M+K"	"1"	"318.6849073"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"3.37E7"	"1061484.75"	""	""	"970984.1875"	"1146523.375"	"681814"	""	""	"1074832"	""	"1368591.375"	""	"926627.25"	""	"770203.375"	"1175059.5"	""	""	""	"1.11E7"	"1041787.375"	"499980.7813"	"862869.5"	"1356385"	"1139047.375"	""	""	"8.19E7"	""	"705164.75"	"598074.3125"	"957352.125"	""	"3432973.25"	"1020470"	"1152742.375"	""	""	""	"1098990.375"	""	"2.82E7"	"1174826.875"	""	"468069.5625"	""	""	"1.3E8"	""	"1125294.375"	"490641.875"	"5.34E7"	""	"1170045.875"	""	""	"1119791.75"	""	"1122874.5"	"3.95E7"
"ID_10014_OP"	""	""	""	"cystamine | 1 |1-Diethyl-2-hydroxy-2-nitrosohydrazine | Transferred to D02141"	"155.0670291"	""	"M+H | M+Na | M+Na"	"1"	"198.7454101"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	""	"5932.366211"	"3471.070801"	"4997.83252"	"7944.800293"	"4523.167969"	"4633.112793"	"6044.815918"	"2437.147461"	"12274.86035"	"187978.7813"	"6614.013672"	"4594.899902"	"4073.069336"	"3261.115234"	"4396.608398"	"5114.553223"	"5982.276367"	"4596.089355"	"5222.598145"	"3301.682129"	"5746.709961"	"14501.65332"	"74418.16406"	"4790.758789"	"4527.068848"	"3542.67627"	"11792.68848"	"4385.467285"	"5535.845703"	"10869.81445"	"10554.86035"	"3842.707031"	"4738.399902"	"3815.494141"	"2476.056152"	"6261.075684"	"9759.18457"	"5714.946777"	"4671.246582"	"5168.412109"	"6574.021484"	"7017.962402"	"6842.284668"	"4198.540039"	"24666.42773"	"4460.447266"	"4188.021484"	"4805.189453"	"5782.676758"	"22541.12891"	"5222.330078"	"11502.82031"	"3979.559814"	"15805.2832"	"10012.875"	""	"4888.778809"	"9220.112305"	"5212.797852"	"7681.263184"
"ID_10043_OP"	""	""	""	""	"629.3863642"	""	""	"1"	"648.7581959"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"92352.53125"	"6823.925781"	"11109.07422"	"97034.22656"	"43584.08594"	"6836.472168"	"11522.12793"	"21428.27539"	"11133.25098"	"117532.1406"	""	"68388.38281"	"21524.47852"	"22262.69531"	"12689.04297"	"95540.17969"	"32247.44922"	"41526.03516"	"55250.89453"	"22721.91602"	"47932.97266"	"24549.07422"	"110234.3125"	"64180.88281"	"9261.09375"	"22722.62891"	"28064.66992"	"51475.23047"	"21525.80664"	"14785.08496"	"69839.35156"	"52221.74219"	""	""	"69787.47656"	"33820.09375"	"189425.8125"	"15923.97461"	"32666.30859"	""	"13032.8584"	"33107.60156"	"64292.77734"	""	"28632.18164"	"32079.95313"	"20262.95313"	"36337.42969"	"68476.67188"	"9680.128906"	"76691.1875"	"82928.42188"	"61477.98438"	"11999.75977"	"56401.41406"	"17727.25586"	"81385.14844"	"19355.70508"	"25767.46875"	"27790.91211"	"24823.2207"
"ID_10057_OP"	""	""	""	"Glycolipid transfer protein | N-(eicosanoyl)-hexadecasphinganine-1-phosphocholine | N-(heptadecanoyl)-nonadecasphinganine-1-phosphocholine | N-(octadecanoyl)-sphinganine-1-phosphocholine"	"733.6184419"	""	"M+H | M+H | M+H | M+H"	"1"	"1014.709578"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"73569.07813"	"70569.19531"	"49300.11328"	"59361.58203"	"37559.05078"	"24540.73633"	"37864.10156"	"83006.67969"	"25888.75391"	"92878.875"	"174131.5781"	"72738.03125"	"186938.2188"	"117344.5391"	"150704.375"	"24078.29492"	"32947.55078"	"89410.64063"	"70767.83594"	"64789.77734"	"55437.60547"	"89642.05469"	"168579.2188"	"110652.0781"	"47810.71484"	"49385.14063"	"65111.70703"	"83325.95313"	"137199.6875"	"23529.39258"	"62542.85156"	"49291.03516"	"25484.88867"	"194360.1094"	"33595.04297"	"66158.11719"	"149746.8125"	"109739.9844"	"13512.11035"	"48426.4375"	"45555.82422"	"69799.49219"	"71485.03125"	"31076.45703"	"9994.908203"	"35571.44531"	"87555.27344"	"61051.9375"	"29858.75781"	"47773.84375"	"47052.65234"	"69437.67969"	"42964.55469"	"136210.9375"	"29886"	"59396.58594"	"33595.96484"	"94611.28125"	"56067.125"	"116854.7188"	"91218.78906"
"ID_10059_OP"	""	""	""	"24-Hydroxyglabrolide | (25S)-3-oxo-12beta-acetoxy-cholest-1 |4-dien-26-oic acid | Liquoric acid | Ganolucidic acid E | 21-Hydroxyisoglabrolide | gypsogenate | 19alpha-19-Hydroxy-3 |11-dioxo-12-ursen-28-oic acid | Propapyriogenin A2"	"531.3327685"	""	"M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H"	"1"	"826.8914486"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"37188.37109"	"15522.60742"	"18817.30664"	"64395.5625"	"22247.65039"	"34484.32813"	"53900.58203"	"42487.46094"	"71273.42969"	"96935.92969"	"26732.71289"	"22643.76172"	"58249.71094"	"67755.53906"	"34098.61328"	"15749.46387"	"49176.27344"	"55377.14063"	"20877.60156"	"39576.02734"	"26349.78711"	"18353.63086"	"26435.55273"	"68105.61719"	"33973.19531"	"26250.27344"	"23517.7793"	"38782.22656"	"49797.85938"	"16657.51367"	"79042.64063"	"98919.0625"	"31756.64648"	"13853.79785"	"61574.03906"	"60706.13281"	"18312.83008"	"22954.29102"	"58573.92578"	"19899.20117"	"17393.76172"	"55265.91016"	"48628.62109"	"26782.99805"	"20715.51758"	"21396.43945"	"22376.42578"	"28888.57031"	"11596.46484"	"38029.09375"	"31746.73242"	"79432.53906"	"32483.66211"	"23382.06641"	"24689.08008"	"21487.66016"	"17176.75977"	"42776.47266"	""	"59840.92969"	"57806.97266"
"ID_10089_OP"	""	""	""	""	"400.7228316"	""	""	"1"	"772.0475091"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	""	""	""	""	""	""	""	"107176.5313"	"30558.58398"	"96980.74219"	"104309.1641"	"123603.3594"	"19468.29102"	"71827.55469"	"50425.36719"	"80917.23438"	"48058.44141"	"21183.2168"	"134044.6563"	"183421.7344"	"70097.99219"	"192124.5781"	"146774.5"	"70698.09375"	"44473.73047"	"55907.42188"	"76866.26563"	"72654.32813"	"44673.09375"	"109125.1484"	"109372.2813"	"55291.58203"	"89011.60156"	"129341.8906"	"96851.51563"	"168052.2813"	"91219.13281"	"34398.19922"	"27685.29883"	"26207.71875"	"122813.9297"	"61403.90625"	"73769.07813"	"174199.2813"	"49712.98047"	"37768.42188"	"57895.5625"	"43828.07813"	"172508.0938"	"139982.4688"	"45762.89844"	"59758.23438"	"58483.93359"	"117113.3203"	"109847.3594"	"62055.17969"	"36726.51172"	"61809.54688"	"139286.7344"	"33267.95703"	"136061.375"	"36834.80859"	"55518.63281"	"38657.29688"	"117450.7813"	"111424.6016"	"137898.4375"	"136219.5781"
"ID_10144_OP"	""	""	""	"Uteroglobin | Uteroglobin | Probable phospholipid-transporting ATPase ID | 1-tetradecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine | 1-hexadecyl-2-(9Z-hexadecenoyl)-glycero-3-phosphocholine | 1-octadecyl-2-(9Z-tetradecenoyl)-glycero-3-phosphocholine | 1-(1Z-eicosenyl)-2-(9Z-heptadecenoyl)-glycero-3-phosphate | 1-(1Z-octadecenyl)-2-(9Z-nonadecenoyl)-glycero-3-phosphate | 1-octadecyl-2-(9Z-heptadecenoyl)-glycero-3-phosphoethanolamine | 1-hexadecyl-2-(9Z-nonadecenoyl)-glycero-3-phosphoethanolamine | 1-eicosyl-2-(9Z-pentadecenoyl)-glycero-3-phosphoethanolamine | 1-eicosyl-2-(9Z |12Z-heptadecadienoyl)-glycero-3-phosphate | 1-tetradecanoyl-2-(1Z-octadecenyl)-sn-glycero-3-phosphocholine | 1-hexadecanoyl-2-(1Z-hexadecenyl)-sn-glycero-3-phosphocholine | 1-(1Z-octadecenyl)-2-tetradecanoyl-glycero-3-phosphocholine | 1-(1Z-hexadecenyl)-2-hexadecanoyl-glycero-3-phosphocholine | 1-(1Z-eicosenyl)-2-dodecanoyl-glycero-3-phosphocholine | Uteroglobin | Group XV phospholipase A2 | 1-(1Z-hexadecenyl)-2-nonadecanoyl-glycero-3-phosphoethanolamine | 1-(1Z-octadecenyl)-2-heptadecanoyl-glycero-3-phosphoethanolamine | 1-(1Z-eicosenyl)-2-pentadecanoyl-glycero-3-phosphoethanolamine"	"718.5713653"	""	"M+H | M+H | M+H | M+H | M+H | M+H | M+NH4 | M+NH4 | M+H | M+H | M+H | M+NH4 | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H"	"1"	"989.4580766"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"80922.45313"	"41738.16016"	"40437.16797"	"96845.50781"	"64625.01172"	"43253.75781"	"68690.25781"	"120686.3672"	"85832.53125"	"174511.6094"	"56908.89844"	"50062.50781"	"23840.41602"	"90740.42969"	"47842.02734"	"27147.20508"	"40321.26172"	"153982.2656"	"97644.54688"	"78007.82031"	"49529.44922"	"46448.16797"	"188492.3906"	"99054.35156"	"32514.99414"	"40623.77734"	"39827.35547"	"55536.4375"	"35521.65625"	"46046.8125"	"37856.43359"	"52831.29688"	"67437.38281"	"48572.6875"	"52149"	"38521.69141"	"43792.4375"	"88911.67188"	"71136.89844"	"50792.12891"	"58901.71875"	"33485.47266"	"42442.43359"	"130979.2969"	"27196.28516"	"127421.7422"	"69707.60156"	"50532.24609"	"24776.92969"	"41865.39063"	"25844.95313"	"87494.6875"	"63997.90625"	"43940.22656"	"67082.26563"	"24352.86914"	"37044.27734"	"92147.38281"	"65113.60938"	"47871.58203"	"46326.52734"
"ID_10156_OP"	""	""	""	"1-(9Z-hexadecenoyl)-2-tridecanoyl-glycero-3-phosphoethanolamine | 1-(9Z-heptadecenoyl)-2-dodecanoyl-glycero-3-phosphoethanolamine | 1-(9Z-tetradecenoyl)-2-pentadecanoyl-glycero-3-phosphoethanolamine | 1-tetradecanoyl-2-(9Z-pentadecenoyl)-glycero-3-phosphoethanolamine | 1-pentadecanoyl-2-(9Z-tetradecenoyl)-glycero-3-phosphoethanolamine | 1-(9Z-pentadecenoyl)-2-tetradecanoyl-glycero-3-phosphoethanolamine | 1-tridecanoyl-2-(9Z-hexadecenoyl)-glycero-3-phosphoethanolamine | 1-dodecanoyl-2-(9Z-heptadecenoyl)-glycero-3-phosphoethanolamine | 1-decanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine | 1-(9Z-tetradecenoyl)-2-dodecanoyl-glycero-3-phosphocholine | 1-dodecanoyl-2-(9Z-tetradecenoyl)-glycero-3-phosphocholine | Phospholipase D1 variant | Phospholipase D1 variant | 1-(9Z-pentadecenoyl)-2-(9Z-hexadecenoyl)-glycero-3-phosphate | 1-(9Z-tetradecenoyl)-2-(9Z-heptadecenoyl)-glycero-3-phosphate | 1-tridecanoyl-2-(9Z |12Z-octadecadienoyl)-glycero-3-phosphate | 1-tetradecanoyl-2-(9Z |12Z-heptadecadienoyl)-glycero-3-phosphate | 1-(9Z |12Z-octadecadienoyl)-2-tridecanoyl-glycero-3-phosphate | 1-(9Z-heptadecenoyl)-2-(9Z-tetradecenoyl)-glycero-3-phosphate | 1-(9Z |12Z-heptadecadienoyl)-2-tetradecanoyl-glycero-3-phosphate | 1-(9Z-hexadecenoyl)-2-(9Z-pentadecenoyl)-glycero-3-phosphate"	"648.458756"	""	"M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+H | M+NH4 | M+NH4 | M+NH4 | M+NH4 | M+NH4 | M+NH4 | M+NH4 | M+NH4"	"1"	"1098.283526"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"170165.5156"	"96238.9375"	"137431.9844"	"136517.3906"	"196221.7344"	"122951.7813"	"129667.2578"	"118735.6641"	"153838.5625"	"132600.6563"	"140780.8125"	"150719.4063"	"164401.5469"	"130103.1484"	"112711.7578"	"171024.2813"	"145791.5781"	"135212.3906"	"144500.2656"	"134108.4531"	"140014.6406"	"107523.2656"	"137726.9531"	"139273.9531"	"112800.1719"	"136997.8438"	"138367.7344"	"153366.6563"	"144337.5"	"149111.9688"	"181749.5313"	"168146.7656"	"105533.3516"	"112042.1641"	"182190.3281"	"174595.3438"	"162450.8906"	"166750.625"	"209910.2031"	"139514.1719"	"152270.0625"	"162880.7031"	"137825.9844"	"183726.6563"	"123312.5703"	"126806.1875"	"121174.7422"	"139756.7969"	"115399.625"	"133580.4375"	"115550.2734"	"143618.4844"	"145470.8438"	"142714.8281"	"132455.4063"	"110849.7266"	"173375.7813"	"144949.0781"	"125803.8281"	"152021.0938"	"157133.8125"
"ID_10159_OP"	""	""	""	"5-Hydroxytryptophan | Tryptophan 5-hydroxylase 1 | a pyrimidodiazepine | Oxitriptan | 5-Hydroxy-L-tryptophan | 5-hydroxy-L-tryptophan | Jasminine | 11-Hydroxycanthin-6-one"	"259.0475059"	""	"M+K | M+K | M+K | M+K | M+K | M+K | M+K | M+Na"	"1"	"361.8937232"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"69121.42969"	"38842.70703"	"33000.57422"	"63996.42578"	"81815.02344"	"26345.34961"	"42528.57422"	"113797.4063"	"37388.71094"	"107305.1953"	"262145.8438"	"88655.82031"	"39653.99219"	"43976.93359"	"25484.13086"	"57534.00781"	"43835.3125"	"204098.3906"	"69596.05469"	"41193.92578"	"28731.54102"	"41835.1875"	"333091.9375"	"322603.0938"	"36964.33984"	"57432.20313"	"37052.86328"	"105882.0391"	"97212.25781"	"44845.67969"	"98963.21875"	"120716.3516"	"29186.97461"	"30072.45898"	"33634.71484"	"28780.37695"	"57134.87891"	"114488.9844"	"38545.42969"	"43755.4375"	"39641.89844"	"112438.25"	"80759.0625"	"38646.47266"	"28774.18555"	"133056.7813"	"69808.59375"	"29927.73242"	"98058.38281"	"29735.74023"	"99419.19531"	"58078.65625"	"46810.66797"	"24683.88867"	"114469.6641"	"71989.11719"	"391308"	"44345.27344"	"198552.2656"	"49338.73438"	"204280.7188"
"ID_10176_OP"	""	""	""	"Methyl 12R-(3-methylbutanoyloxy)-5Z |8Z |10E |14Z-eicosatetraenoate | Methyl 12R-(3-methylbutanoyloxy)-5Z |8E |10E |14Z-eicosatetraenoate | (25S)-spirostan-1beta |3beta |4beta |5beta-tetrol | (25S)-5alpha-spirostan-2alpha |3beta |5alpha |6beta-tetrol | (25R)-spirostan-2alpha |3beta |5alpha |6beta-tetrol | 3alpha |6alpha |7alpha |12alpha-Tetrahydroxy-5beta-cholest-24-en-26-oic acid | 3alpha |7alpha |12alpha |26-Tetrahydroxy-5beta-23E-cholestan-27-oic acid | 11'-Carboxy-alpha-chromanol | Nb-Stearoyltryptamine | Hexadecyl ferulate | Ecdysone | 24-nor-3beta |6alpha |20S-trihydroxy-5alpha-cholest-9(11)-en-23-one | 2beta |3beta |14alpha |22R |25-pentahydroxy-5beta-cholest-7-en-6-one | 2beta |3beta |14alpha |22S |25-pentahydroxy-5beta-cholest-7-en-6-one | (22R)-2beta |3beta |14 |20 |22-pentahydroxy-5beta-cholest-7-en-6-one | ecdysone | Ponasterone A | Diisononyl phthalate | (5Z |7E)-(1S |3R |24S)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |24-triol | (5Z |7E)-(1S |3R |20R |24S)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |24-triol | (5Z |7E)-(1S |3R |24R)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |24-triol | (5Z |7E)-(1S |3R |20R |24R)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |24-triol | (5Z |7E)-(1S |3R)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |25-triol | (5Z |7E)-(1S |3R |20R)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |25-triol | (5Z |7E)-(1R |3R)-22-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |25-triol | (5Z |7E)-(1S |3R)-23-oxa-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |25-triol | (5Z |7E)-(1S |3R |20S)-24-nor-9 |10-seco-5 |7 |10(19)-cholestatriene-1 |3 |20 |25-tetrol | 3-Epiecdysone"	"465.3226174"	""	"M+HCOOH+H | M+HCOOH+H | M+H | M+H | M+H | M+H | M+H | M+HCOOH+H | M+K | M+HCOOH+H | M+H | M+HCOOH+H | M+H | M+H | M+H | M+H | M+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+HCOOH+H | M+H"	"1"	"826.3177769"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Homo sapiens"	""	""	"3"	""	""	""	""	""	""	"39019.19922"	"31969.30859"	"61025.21094"	"86819.64063"	"52449.45313"	"112482.875"	"60239.17578"	"67033.0625"	"192926.75"	"152254.8281"	"111765.5859"	"37836.16016"	"59823.15234"	"81903.57813"	"72048.85156"	"37772.4375"	"175144.6875"	"67026.32031"	"120172.9219"	"58535.44922"	"39710.96484"	"44468.00781"	"43142.67578"	"93799.46094"	"102261.8047"	"109841.3828"	"121419.3516"	"131073.6563"	"87902.76563"	"38326.90234"	"185533.7813"	"93384.0625"	"405983.75"	"29954.68555"	"85260.21094"	"147518.5156"	"25323.40234"	"39317.31641"	"151207.7031"	"62753.87109"	"66197.03906"	"119969.7969"	"51498.14844"	"60183.78906"	"49129.28125"	"40316.85547"	"117199.1719"	"81162.64844"	"43029.86719"	"60737.42969"	"65929.3125"	"163017.1719"	"60884.34375"	"39821.24219"	"59743.86328"	"49720.44922"	"33576.41797"	"113765.3984"	""	"120779.3047"	"76607.78125"
