Sample Name Raw Spectral Data File
MCMA429 1001_P.mzML
MCMA430 1002_P.mzML
MCMA431 1003_P.mzML
MCMA433 1004_P.mzML
MCMA434 1005_P.mzML
MCMA435 1006_P.mzML
MCMA436 1007_P.mzML
MCMA442 1009_P.mzML
MCMA443 1010_P.mzML
MCMA444 1011_P.mzML
MCMA446 1012_P.mzML
MCMA447 1013_P.mzML
MCMA448 1014_P.mzML
MCMA450 1016_P.mzML
MCMA451 1017_P.mzML
MCMA452 1018_P.mzML
MCMA455 1019_P.mzML
MCMA458 1020_P.mzML
MCMA459 1021_P.mzML
MCMA462 1023_P.mzML
MCMA463 1024_P.mzML
MCMA465 1026_P.mzML
MCMA466 1027_P.mzML
MCMA472 1029_P.mzML
MCMA474 1030_P.mzML
MCMA477 1031_P.mzML
MCMA478 1032_P.mzML
MCMA480 1033_P.mzML
MCMA484 1034_P.mzML
MCMA489 1035_P.mzML
MCMA491 1036_P.mzML
MCMA493 1037_P.mzML
MCMA495 1038_P.mzML
MCMA496 1039_P.mzML
MCMA497 1040_P.mzML
MCMA501 1041_P.mzML
MCMA502 1042_P.mzML
MCMA503 1043_P.mzML
MCMA513 1044_P.mzML
MCMA515 1045_P.mzML
MCMA516 1046_P.mzML
MCMA523 1048_P.mzML
MCMA526 1049_P.mzML
MCMA528 1050_P.mzML
MCMA533 1051_P.mzML
MCMA534 1052_P.mzML
MCMA535 1053_P.mzML
MCMA537 1054_P.mzML
MCMA538 1055_P.mzML
MCMA550 1056_P.mzML
MCMA557 1057_P.mzML
MCMA560 1058_P.mzML
MCMA562 1059_P.mzML
MCMA564 1060_P.mzML
MCMA565 1061_P.mzML
MCMA566 1062_P.mzML
MURB082 1064_P.mzML
MURB085 1065_P.mzML
MURB088 1066_P.mzML
MURB092 1067_P.mzML
MURB095 1068_P.mzML
