Sample Name Raw Spectral Data File
MCMA429 81_P-1-MCMA429_522-16480.mzXML
MCMA430 15_P-2-MCMA430_522-16481.mzXML
MCMA431 35_P-3-MCMA431_522-16482.mzXML
MCMA433 59_P-4-MCMA433_522-16483.mzXML
MCMA434 66_P-5-MCMA434_522-16484.mzXML
MCMA435 54_P-6-MCMA435_522-16485.mzXML
MCMA436 84_P-7-MCMA436_522-16486.mzXML
MCMA442 95_P-9-MCMA442_522-16488.mzXML
MCMA443 94_P-10-MCMA443_522-16489.mzXML
MCMA444 48_P-11-MCMA444_522-16490.mzXML
MCMA446 25_P-12-MCMA446_522-16491.mzXML
MCMA447 14_P-13-MCMA447_522-16492.mzXML
MCMA448 65_P-14-MCMA448_522-16493.mzXML
MCMA450 17_P-15-MCMA450_522-16494.mzXML
MCMA451 41_P-16-MCMA451_522-16495.mzXML
MCMA452 12_P-17-MCMA452_522-16496.mzXML
MCMA455 19_P-18-MCMA455_522-16497.mzXML
MCMA458 36_P-19-MCMA458_522-16498.mzXML
MCMA459 92_P-20-MCMA459_522-16499.mzXML
MCMA462 58_P-21-MCMA462_522-16500.mzXML
MCMA463 18_P-22-MCMA463_522-16501.mzXML
MCMA465 76_P-23-MCMA465_522-16502.mzXML
MCMA466 87_P-24-MCMA466_522-16503.mzXML
MCMA472 72_P-26-MCMA472_522-16505.mzXML
MCMA474 38_P-27-MCMA474_522-16506.mzXML
MCMA477 83_P-28-MCMA477_522-16507.mzXML
MCMA478 88_P-29-MCMA478_522-16508.mzXML
MCMA480 20_P-30-MCMA480_522-16509.mzXML
MCMA484 43_P-31-MCMA484_522-16510.mzXML
MCMA489 89_P-32-MCMA489_522-16511.mzXML
MCMA491 78_P-33-MCMA491_522-16512.mzXML
MCMA493 69_P-34-MCMA493_522-16513.mzXML
MCMA495 23_P-35-MCMA495_522-16514.mzXML
MCMA496 29_P-36-MCMA496_522-16515.mzXML
MCMA497 13_P-37-MCMA497_522-16516.mzXML
MCMA501 86_P-38-MCMA501_522-16517.mzXML
MCMA502 71_P-39-MCMA502_522-16518.mzXML
MCMA503 77_P-40-MCMA503_522-16519.mzXML
MCMA513 98_P-41-MCMA513_522-16520.mzXML
MCMA515 99_P-42-MCMA515_522-16521.mzXML
MCMA516 40_P-43-MCMA516_522-16522.mzXML
MCMA523 30_P-44-MCMA523_522-16523.mzXML
MCMA526 100_P-45-MCMA526_522-16524.mzXML
MCMA528 32_P-46-MCMA528_522-16525.mzXML
MCMA533 60_P-47-MCMA533_522-16526.mzXML
MCMA534 37_P-48-MCMA534_522-16527.mzXML
MCMA535 61_P-49-MCMA535_522-16528.mzXML
MCMA537 24_P-50-MCMA537_522-16529.mzXML
MCMA538 75_P-51-MCMA538_522-16530.mzXML
MCMA550 31_P-52-MCMA550_522-16531.mzXML
MCMA557 55_P-53-MCMA557_522-16532.mzXML
MCMA560 26_P-54-MCMA560_522-16533.mzXML
MCMA562 52_P-55-MCMA562_522-16534.mzXML
MCMA564 70_P-56-MCMA564_522-16535.mzXML
MCMA565 47_P-57-MCMA565_522-16536.mzXML
MCMA566 46_P-58-MCMA566_522-16537.mzXML
MURB082 42_P-59-MURB082_522-16538.mzXML
MURB085 93_P-60-MURB085_522-16539.mzXML
MURB088 49_P-61-MURB088_522-16540.mzXML
MURB092 53_P-62-MURB092_522-16541.mzXML
MURB095 63_P-63-MURB095_522-16542.mzXML
