Sample Name Raw Spectral Data File
MCMA429 429_1.cdf
MCMA430 430_1.cdf
MCMA431 431_1.cdf
MCMA433 433_1.cdf
MCMA434 434_1.cdf
MCMA435 435_1.cdf
MCMA436 436_1.cdf
MCMA442 442_1.cdf
MCMA443 443_1.cdf
MCMA444 444_1.cdf
MCMA446 446_1.cdf
MCMA447 447_1.cdf
MCMA448 448_1.cdf
MCMA450 450_1.cdf
MCMA451 451_1.cdf
MCMA452 452_1.cdf
MCMA455 455_1.cdf
MCMA458 458_1.cdf
MCMA459 459_1.cdf
MCMA462 462_1.cdf
MCMA463 463_1.cdf
MCMA465 465_1.cdf
MCMA466 466_1.cdf
MCMA472 472_1.cdf
MCMA474 474_1.cdf
MCMA477 477_1.cdf
MCMA478 478_1.cdf
MCMA480 480_1.cdf
MCMA484 484_1.cdf
MCMA489 489_1.cdf
MCMA491 491_1.cdf
MCMA493 493_1.cdf
MCMA495 495_1.cdf
MCMA496 496_1.cdf
MCMA497 497_1.cdf
MCMA501 501_1.cdf
MCMA502 502_1.cdf
MCMA503 503_1.cdf
MCMA513 513_1.cdf
MCMA515 515_1.cdf
MCMA516 516_1.cdf
MCMA523 523_1.cdf
MCMA526 526_1.cdf
MCMA528 528_1.cdf
MCMA533 533_1.cdf
MCMA534 534_1.cdf
MCMA535 535_1.cdf
MCMA537 537_1.cdf
MCMA538 538_1.cdf
MCMA550 550_1.cdf
MCMA557 557_1.cdf
MCMA560 560_1.cdf
MCMA562 562_1.cdf
MCMA564 564_1.cdf
MCMA565 565_1.cdf
MCMA566 566_1.cdf
MURB082 082_1.cdf
MURB085 085_1.cdf
MURB088 088_1.cdf
MURB092 092_1.cdf
MURB095 095_1.cdf
