Sample Name Raw Spectral Data File
MCMA429 1001_N.mzML
MCMA430 1002_N.mzML
MCMA431 1003_N.mzML
MCMA433 1004_N.mzML
MCMA434 1005_N.mzML
MCMA435 1006_N.mzML
MCMA436 1007_N.mzML
MCMA442 1009_N.mzML
MCMA443 1010_N.mzML
MCMA444 1011_N.mzML
MCMA446 1012_N.mzML
MCMA447 1013_N.mzML
MCMA448 1014_N.mzML
MCMA450 1016_N.mzML
MCMA451 1017_N.mzML
MCMA452 1018_N.mzML
MCMA455 1019_N.mzML
MCMA458 1020_N.mzML
MCMA459 1021_N.mzML
MCMA462 1023_N.mzML
MCMA463 1024_N.mzML
MCMA465 1026_N.mzML
MCMA466 1027_N.mzML
MCMA472 1029_N.mzML
MCMA474 1030_N.mzML
MCMA477 1031_N.mzML
MCMA478 1032_N.mzML
MCMA480 1033_N.mzML
MCMA484 1034_N.mzML
MCMA489 1035_N.mzML
MCMA491 1036_N.mzML
MCMA493 1037_N.mzML
MCMA495 1038_N.mzML
MCMA496 1039_N.mzML
MCMA497 1040_N.mzML
MCMA501 1041_N.mzML
MCMA502 1042_N.mzML
MCMA503 1043_N.mzML
MCMA513 1044_N.mzML
MCMA515 1045_N.mzML
MCMA516 1046_N.mzML
MCMA523 1048_N.mzML
MCMA526 1049_N.mzML
MCMA528 1050_N.mzML
MCMA533 1051_N.mzML
MCMA534 1052_N.mzML
MCMA535 1053_N.mzML
MCMA537 1054_N.mzML
MCMA538 1055_N.mzML
MCMA550 1056_N.mzML
MCMA557 1057_N.mzML
MCMA560 1058_N.mzML
MCMA562 1059_N.mzML
MCMA564 1060_N.mzML
MCMA565 1061_N.mzML
MCMA566 1062_N.mzML
MURB082 1064_N.mzML
MURB085 1065_N.mzML
MURB088 1066_N.mzML
MURB092 1067_N.mzML
MURB095 1068_N.mzML
