,0
0,1
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,1
